,time,OpenInterest_long,OpenInterest_short,liquidate_long,liquidate_short,open,high,low,close,TradingVolume_usd
1072,2022-12-28,1759628071.428,1759628071.428,1606118.829,611860.305,16698.2,16778.3,16455.6,16539.0,344649.8259996989
1073,2022-12-29,1778384662.3744998,1778384662.3744998,1757423.5828000004,456584.88649999996,16538.9,16659.0,16485.1,16630.3,208588.74199987008
1074,2022-12-30,1787837563.7276,1787837563.7276,620237.4332000001,605893.9964000004,16630.3,16666.6,16320.0,16601.2,295626.5699998329
1075,2022-12-31,1747882361.2415998,1747882361.2415998,412646.19519999996,370161.1008,16601.2,16640.0,16461.8,16537.6,134462.15599995822
1076,2023-01-01,1808107462.7182,1808107462.7182,43120.3388,274883.85469999997,16537.5,16618.8,16488.0,16610.3,105502.56499995365
1077,2023-01-02,1752515479.9099998,1752515479.9099998,365968.69400000013,1459574.9479999999,16610.4,16799.0,16541.2,16666.0,214902.5619999191
1078,2023-01-03,1751641284.0608,1751641284.0608,657287.6992000001,372011.9040000001,16665.9,16774.0,16600.3,16667.2,203070.17899981677
1079,2023-01-04,1709940821.4327998,1709940821.4327998,597001.9187,2573506.5641999994,16667.3,16984.6,16645.7,16842.1,349745.7639995224
1080,2023-01-05,1748677935.6074,1748677935.6074,111356.73220000003,414185.1322000001,16842.2,16872.8,16740.4,16823.8,176369.1679997935
1081,2023-01-06,1755370072.2338,1755370072.2338,858627.0650000001,2280889.6370000015,16823.8,17030.0,16664.8,16943.8,316963.5709998448
1082,2023-01-07,1786647728.7224998,1786647728.7224998,23033.64,107665.33049999997,16943.9,16973.6,16900.1,16936.5,77973.10499996661
1083,2023-01-08,1760808438.6804001,1760808438.6804001,698191.1437000001,2362729.1084000007,16936.5,17181.1,16905.0,17124.7,157716.28399996457
1084,2023-01-09,1773732255.5635002,1773732255.5635002,1532550.2523000007,4784457.092899996,17124.6,17387.8,17098.2,17169.7,400261.8379996278
1085,2023-01-10,1971033728.1407998,1971033728.1407998,331495.7760000002,2319058.6992,17169.6,17485.4,17140.4,17428.8,297320.3669997936
1086,2023-01-11,1917810611.8357,1917810611.8357,711365.7333999999,4096173.101699998,17428.8,18013.2,17306.4,17935.7,386275.1769996554
1087,2023-01-12,2051853590.782,2051853590.782,4509798.361999997,6506701.713999993,17935.6,19120.0,17902.4,18838.0,1040328.0000024193
1088,2023-01-13,2217955149.8478003,2217955149.8478003,2609412.701400001,8185638.403799987,18838.1,19997.8,18711.0,19924.2,806807.564001119
1089,2023-01-14,1963839775.7267997,1963839775.7267997,5626017.226799992,14345976.031199962,19924.3,21544.0,19882.6,20962.8,938047.2440033867
1090,2023-01-15,1968554973.0501,1968554973.0501,2441542.6359000015,2410072.4070000043,20962.8,21073.8,20556.0,20882.7,428485.62499912764
1091,2023-01-16,2076103856.6148999,2076103856.6148999,3170977.413099998,3803787.1809000024,20882.7,21498.0,20606.6,21188.3,666144.5050005219
1092,2023-01-17,2154986763.7025003,2154986763.7025003,3865602.322400001,2970159.3039999995,21188.2,21640.0,20827.8,21130.9,547354.8189991433
1093,2023-01-18,2103432284.8,2103432284.8,5137635.799999998,4462206.3199999975,21130.8,21672.0,20386.0,20680.0,813782.4070019083
1094,2023-01-19,2213608147.377,2213608147.377,1281121.1863999988,3183694.0178999985,20680.1,21183.9,20659.9,21068.3,374709.2249995449
1095,2023-01-20,2235966567.3576,2235966567.3576,1776630.2400000002,7330072.71149998,21068.3,22750.0,20856.4,22661.1,723621.282000903
1096,2023-01-21,2175641787.9662004,2175641787.9662004,3418150.712199999,5053367.148499997,22661.0,23390.0,22422.0,22781.9,764668.345001215
1097,2023-01-22,2140637095.2048,2140637095.2048,2384959.2978000036,4133281.611599997,22781.8,23080.2,22287.0,22704.6,478856.8459991929
1098,2023-01-23,2110778372.4929998,2110778372.4929998,1700747.760600001,4810719.910499998,22704.7,23193.1,22500.0,22913.1,525770.6379988826
1099,2023-01-24,2087913150.0484002,2087913150.0484002,4757569.2418,2258078.7556000007,22913.3,23158.7,22450.0,22627.4,505612.2229990659
1100,2023-01-25,1980928715.9029999,1980928715.9029999,3221196.850400003,8111197.080399991,22627.5,23837.4,22310.5,23060.6,692650.496000425
1101,2023-01-26,2038886805.8669999,2038886805.8669999,1924223.9444999998,2401766.390400003,23060.6,23278.7,22843.8,23001.9,427755.7179992361
1102,2023-01-27,2079219347.276,2079219347.276,2723500.3520000027,3331757.3759999983,23001.9,23500.0,22516.6,23068.0,509895.7989990768
1103,2023-01-28,2080703622.7761002,2080703622.7761002,1061009.974100001,434908.44639999996,23068.1,23185.0,22870.8,23015.9,186388.63599977957
1104,2023-01-29,2451825230.0580997,2451825230.0580997,1200499.4904,6280377.663500002,23016.0,23962.7,22961.5,23740.3,562015.0909991448
1105,2023-01-30,2131748251.1004,2131748251.1004,4989822.1538999975,2409279.4022000013,23740.2,23804.6,22484.2,22819.9,572526.7469993301
1106,2023-01-31,2254570064.3178,2254570064.3178,1844858.7618000007,2358132.561200001,22819.9,23330.0,22715.3,23119.4,403674.7549990584
1107,2023-02-01,2379514691.82,2379514691.82,2178461.460000002,3940627.529999996,23119.5,23852.4,22747.0,23730.0,571356.7699990248
1108,2023-02-02,2297583033.3786,2297583033.3786,4496978.722700003,3539071.0633000047,23730.1,24281.4,23365.0,23493.1,615728.156999955
1109,2023-02-03,2263788142.7031,2263788142.7031,2052331.6658000043,2176951.0698000034,23493.0,23719.9,23201.0,23424.7,470775.22799848276
1110,2023-02-04,2299718699.2205997,2299718699.2205997,1159086.574800001,939947.4252,23424.7,23591.4,23250.0,23322.6,197115.44299974357
1111,2023-02-05,2352730818.2000003,2352730818.2000003,2421300.5908000027,1129079.6664000007,23322.6,23436.0,22741.0,22929.2,356661.4849991754
1112,2023-02-06,2345535163.0851,2345535163.0851,2691962.8176000034,1919338.9026000018,22929.3,23159.4,22600.0,22757.7,417096.1819990103
1113,2023-02-07,2355952725.9945,2355952725.9945,1496926.5948,2932956.6135000023,22757.8,23368.6,22742.4,23234.1,447236.6099989163
1114,2023-02-08,2407625512.4053,2407625512.4053,3310080.088700003,1632118.5781999994,23234.1,23450.0,22662.9,22955.9,383456.4829991374
1115,2023-02-09,2174673161.3240004,2174673161.3240004,8495350.634199997,2505194.9167999993,22955.9,23007.8,21684.7,21793.4,732278.0440019352
1116,2023-02-10,2202047658.6654,2202047658.6654,1679808.457200001,2814028.3062000023,21793.3,21933.8,21405.0,21618.6,439935.52099896193
1117,2023-02-11,2225939487.88,2225939487.88,150468.05179999996,684491.9725000004,21618.5,21891.9,21594.4,21851.3,189244.21799983544
1118,2023-02-12,2155186959.4930997,2155186959.4930997,1528723.0998000002,917608.3228000003,21851.2,22080.9,21618.0,21771.1,276784.3639995091
1119,2023-02-13,2179935623.4798,2179935623.4798,8176473.029999972,3551699.6850000033,21771.0,21888.0,21338.0,21766.2,511588.0469986335
1120,2023-02-14,2294840186.0742,2294840186.0742,2748730.423800001,4049111.7503999956,21766.1,22320.0,21485.2,22187.4,598670.2640000881
1121,2023-02-15,2643880284.6814,2643880284.6814,1994445.8916000004,7414362.213399983,22187.4,24420.0,22038.5,24332.6,824668.7690024438
1122,2023-02-16,2550355713.7152,2550355713.7152,8277928.316400002,5868780.949800001,24332.7,25290.0,23518.0,23526.6,959101.2920052437
1123,2023-02-17,2651061211.9115,2651061211.9115,6412551.323499999,9509795.741999978,23526.7,25043.2,23350.0,24581.5,922637.9330035894
1124,2023-02-18,2714347200.2664,2714347200.2664,1283483.9423999996,1707361.8069000016,24581.3,24887.5,24430.6,24636.9,261549.4139994472
1125,2023-02-19,2595550015.9422,2595550015.9422,2575801.019100002,5068006.012700004,24636.8,25200.0,24179.4,24265.9,543492.9679987979
1126,2023-02-20,2763431837.3052,2763431837.3052,4456382.266800003,4036071.0582000013,24267.1,25140.0,23827.0,24849.9,645531.1470009243
1127,2023-02-21,2681033117.4276,2681033117.4276,6520008.072599996,5937204.0864,24849.9,25347.6,24150.0,24443.4,727985.627001958
1128,2023-02-22,2544232605.633,2544232605.633,7788621.313799993,4560906.7683000015,24443.3,24468.5,23572.0,24171.3,729583.0800016087
