,time,high,low,open,close,liquidate_long,liquidate_short,TradingVolume_usd,OpenInterest_long,OpenInterest_short,leverage_long,leverage_short,Less than 1.1X,1.1X - 5X,5X - 10X,10X - 15X,15X - 20X,20X - 25X,25X - 30X,30X - 35X,35X - 40X,40X - 45X,45X - 50X,More than 50X
4638,2023-03-29,28640.99,27261.75,27274.9,28355.87,14700.0,3906822.0,33412923.0,44476685.9095666,41306585.766026765,71.31818181818181,49.11538461538461,0.0,19595.285714285714,36826.333333333336,71433.77142857143,65044.555555555555,20290.363636363636,405027.0,22506.85185185185,165652.33333333334,35100.0,1063530.4,131998.27551020408
4639,2023-03-30,29172.9,27731.64,28355.87,28037.46,588570.0,237020.0,29296210.0,47041224.020962216,30341838.94826548,71.42553191489361,55.74829931972789,0.0,136603.29411764705,129344.90909090909,90269.08333333333,55643.46153846154,109780.0,173698.16,31289.048780487807,224846.33333333334,26500.0,68125.0,84345.37572254335
4640,2023-03-31,28650.47,27541.23,28037.46,28477.29,302775.0,280860.0,15508803.0,51241162.10623997,29108222.90400825,82.15584415584415,71.03636363636363,0.0,32023.75,35837.583333333336,59723.0,276255.5,124784.57142857143,105303.57142857143,35816.25,18430.0,54690.0,16988.0,47500.91891891892
4641,2023-04-01,28810.95,28265.42,28477.29,28465.3,69225.0,30060.0,11269476.0,53613795.47595648,41151799.46364058,80.06756756756756,64.65454545454546,0.0,26472.5,25111.4,49858.75,9319.5,16578.666666666668,90266.66666666667,28110.0,340200.0,12580.0,4709390.0,47302.256097560974
4642,2023-04-02,28538.36,27880.95,28465.3,28186.76,39600.0,0.0,9489118.0,49117370.0471346,32728569.615737986,82.47297297297297,37.509433962264154,0.0,27009.0,29813.875,35874.5,43785.0,46752.0,69443.75,19728.333333333332,238536.0,13560.0,865025.8333333334,26968.424242424244
4643,2023-04-03,28494.64,27290.26,28186.76,27810.08,600138.0,165752.0,36755964.0,48244181.66877935,33059407.475824308,63.035714285714285,48.59615384615385,0.0,42714.84848484849,56306.96153846154,38077.565217391304,7815.0,193313.03225806452,121814.08333333333,77962.0,316412.1,167130.25,78240.5,82748.90123456791
4644,2023-04-04,28437.75,27674.33,27810.08,28178.13,64200.0,225158.0,13169130.0,56080235.761398986,37786462.779307336,81.01052631578948,59.068627450980394,0.0,27154.666666666668,62691.42857142857,25855.272727272728,199522.0,18444.444444444445,56395.58823529412,19448.0,1493842.0,46997.333333333336,12553.333333333334,44048.79816513762
4645,2023-04-05,28781.48,27841.22,28178.13,28181.03,82500.0,44280.0,16673698.0,60943845.02076665,31813962.692589432,79.28571428571429,67.88659793814433,0.0,62976.25,52278.4375,77790.44444444444,123597.1,20872.0,24895.916666666668,36245.529411764706,85050.0,165058.8,19212.666666666668,99209.34745762713
4646,2023-04-06,28190.92,27726.09,28181.03,28045.06,0.0,0.0,3430000.0,50173073.06645234,37107388.15331896,74.06896551724138,75.85714285714286,0.0,107268.125,87434.0,38782.181818181816,7527.142857142857,44710.61538461538,9800.0,22450.0,15678.0,0.0,12047.2,23958.618181818183
4647,2023-04-07,28110.71,27791.0,28045.06,27910.62,0.0,39600.0,3451401.0,52129393.65187831,31986186.27586315,95.91666666666667,108.86363636363636,0.0,11960.0,79488.0,121947.5,7410.0,60674.0,24500.0,481200.0,0.0,52626.0,24816.0,30393.69090909091
