,time,OpenInterest_long,OpenInterest_short,TradingVolume_usd,liquidate_short,liquidate_long,high,low,open,close
124,2022-03-31,2000812.68137421,3605171.4959689127,4307837.749795578,0.0,0.0,47599.87,45220.41,47056.41,45522.65
125,2022-04-01,2287539.0689870277,3158048.919712318,6996318.675537518,1884.282783199603,0.0,46726.2,44256.66,45522.65,46299.75
126,2022-04-02,2371381.6055655815,3079497.096466236,3761924.304196718,0.0,27813.89865264979,47208.84,45655.15,46299.75,45822.28
127,2022-04-03,2356177.5392729323,3169107.2422499564,3396091.654373137,0.0,0.0,47432.6,45565.57,45822.28,46414.26
128,2022-04-04,2315732.8999956334,3178868.9283968005,3643952.511846244,0.0,0.0,46893.71,45136.03,46414.26,46609.36
129,2022-04-05,2382363.6623919085,3055891.381004363,2276891.850046391,0.0,0.0,47187.66,45382.83,46609.36,45501.58
130,2022-04-06,2537596.29017803,2694586.163697056,4995104.846454951,8025.866001285267,0.0,45518.32,43129.76,45501.58,43177.78
131,2022-04-07,2684880.896804139,2541779.531597425,3344749.6197559224,9041.237642295724,0.0,43894.7,42766.45,43177.78,43466.21
132,2022-04-08,2930928.6357059134,2547901.6978496797,3168065.5827410994,0.0,0.0,43982.39,42123.42,43466.21,42273.38
133,2022-04-09,2869573.6304770503,2547901.6978496797,769653.7664718026,0.0,0.0,42813.04,42136.04,42273.38,42768.61
134,2022-04-10,3045166.5910269264,2584441.517120623,1500841.6583912028,1765.572387770512,0.0,43442.48,41921.59,42768.61,42153.77
135,2022-04-11,3384576.6592367543,2612889.877968911,4062916.7342379177,9052.326004997394,0.0,42422.86,39229.4,42153.77,39536.71
136,2022-04-12,3257982.7345928205,2630599.4820863693,3132266.325186641,0.0,0.0,40673.93,39266.86,39536.71,40086.66
137,2022-04-13,2962728.417106451,2633289.693959532,3174046.9032190572,0.0,0.0,41538.17,39591.74,40086.66,41150.33
138,2022-04-14,3161807.408141536,2590108.5686298357,1603670.903025415,0.0,0.0,41503.56,39587.14,41150.33,39951.63
139,2022-04-15,3071596.8099587196,2630326.7523173466,1692909.748360268,0.0,0.0,40800.76,39779.2,39951.63,40563.69
140,2022-04-16,3076212.8489594962,2607633.388818556,944634.2477601129,0.0,0.0,40698.01,40019.08,40563.69,40392.55
141,2022-04-17,3230903.951731939,2584902.9848217946,1290787.1904932836,0.0,0.0,40602.63,39563.9,40392.55,39688.16
142,2022-04-18,3024449.773454638,2624904.6611161176,3959794.2709558974,1076.8190555037097,0.0,41096.46,38569.14,39688.16,40811.03
143,2022-04-19,2921894.8085134793,2693218.796959224,2008558.722846441,0.0,0.0,41755.93,40588.12,40811.03,41504.44
144,2022-04-20,2957417.067231795,2699562.6601469424,1927220.3403169906,0.0,8289.97329105465,42208.1,40919.04,41504.44,41375.35
145,2022-04-21,3290761.5653942935,2644599.5677340664,3953751.3725872315,0.0,0.0,42996.5,39864.73,41375.35,40490.97
146,2022-04-22,3536705.148701637,2633344.5588932396,3256096.586930652,2649.401774442992,0.0,40794.73,39190.22,40490.97,39716.04
147,2022-04-23,2994346.889891033,2782521.8533242308,4227516.961018006,0.0,0.0,39988.54,39305.67,39716.04,39445.97
148,2022-04-24,2926031.4462798587,2775583.0775472904,2240687.7288038665,1339.306982179647,0.0,39943.44,39044.29,39445.97,39466.26
149,2022-04-25,2849775.6174553744,3024471.824334729,5883923.026429711,4.4520672272289135,56.0164000963899,40590.8,38234.7,39466.26,40437.52
150,2022-04-26,3430744.4701136546,2595157.0840410274,5188658.670333938,13.132165060255907,0.0,40797.85,37726.59,40437.52,38117.39
151,2022-04-27,3080652.466317558,2630582.892901688,5172714.7380539905,7.673236474291691,0.0,39465.62,37900.6,38117.39,39252.04
152,2022-04-28,2972210.302268994,2758430.4673545035,7250407.979833021,0.0,0.0,40386.5,38892.1,39252.04,39749.75
153,2022-04-29,3415841.46891604,2717513.3036712282,4352094.167760531,0.0,0.0,39922.6,38179.15,39749.75,38594.22
154,2022-04-30,3865244.9153053565,2691679.717460597,2017804.3319885095,0.0,0.0,38788.01,37607.77,38594.22,37650.13
