time,open,close,low,high,TradingVolume_binance,liquidate_long_binance,liquidate_short_binance,OpenInterest_long_binance,OpenInterest_short_binance,TradingVolume_bybit,liquidate_long_bybit,liquidate_short_bybit,OpenInterest_long_bybit,OpenInterest_short_bybit,TradingVolume_GMX,liquidate_long_GMX,liquidate_short_GMX,OpenInterest_long_GMX,OpenInterest_short_GMX,TradingVolume_perp,liquidate_long_perp,liquidate_short_perp,OpenInterest_long_perp,OpenInterest_short_perp,TradingVolume_GNS,liquidate_long_GNS,liquidate_short_GNS,OpenInterest_long_GNS,OpenInterest_short_GNS
2022-09-25,19405.1,18799.7,18084.3,20154.1,5435304.762018643,32430714.23739998,30929388.578799978,2292261633.5732,2292261633.5732,1629825.0399908323,12742104.755000003,14044887.655499997,932605922.4,932605922.4,391071413.93118167,419013.39332719886,5902.856952291025,4163509.4526809687,10047098.823579714,15970834.253968367,35000.4312606711,46592.22660383596,4609320.832661785,5481362.994086404,76422547.0,58150.0,907707.0,16473120.782467084,13467911.29410079
2022-10-02,18799.7,19049.4,18460.0,20375.0,5991956.1380141685,31710469.32819996,25685200.628999982,2411400473.4366,2411400473.4366,1716445.5969845485,16604835.89899999,22855566.410499986,1017662040.71,1017662040.71,389943789.9533761,7327.283721568721,12872.884559236172,6100132.5442431,12469827.478623403,16879312.95376017,13976.79001673234,7812.594740449527,4416045.723801237,5497582.195963437,65491602.0,521465.0,647120.0,19044148.727115978,14897517.648921946
2022-10-09,19049.3,19430.0,18950.8,20500.0,4113244.216005427,15882686.575899996,16527674.743599998,2825382109.41,2825382109.41,1207950.7779935487,9184606.2025,8026626.895000002,1240651270.373,1240651270.373,296345566.1972725,2050.68516368,4354.943551200428,28735380.96133337,29959930.579906914,13150424.403780166,5246.007929979281,2767.5992639961205,4368144.487591963,5552173.399468453,45520191.0,726193.0,527529.0,23697360.466903523,14459964.43740665
2022-10-16,19430.0,19251.9,17917.8,19947.9,4044076.6720032063,18367723.9317,13976542.4485,2752853303.6307,2752853303.6307,1134299.2859946147,14024438.7845,11039917.026500003,1189179063.285,1189179063.285,221587842.22026414,322334.2467718343,3734.358093431813,8409251.258105759,11605818.759235747,9248854.05266374,1638.1102530432786,2991.3335438152567,4292095.002462508,5554541.007127088,45042553.0,858224.0,437012.0,17082031.897873472,14458555.547434475
2022-10-23,19251.8,19560.7,18600.0,19706.4,3193060.341998172,11283604.691100007,12055736.683000004,3150083451.8936,3150083451.8936,908066.318998351,5319100.7925,5942478.691500001,1315770172.827,1315770172.827,157771112.60797974,6074.1143485265,3539.704290535,8916281.577396704,11614019.717398904,6569389.720834514,0.0,0.0,4262408.397018891,5632123.6843334185,39154428.0,1668993.0,381612.0,32826956.532373097,15432326.920557585
2022-10-30,19560.6,20615.6,19146.0,21088.0,4083816.488001296,18293319.9464,23722655.25489999,2969998391.6636,2969998391.6636,1124443.9469953794,7432885.047499997,18320294.277499996,1234072176.7705,1234072176.7705,195113924.94950318,1726.3906513656239,212937.34783828305,6762379.040365537,6099951.229715808,12432767.491593765,2776.246355211997,1435.5786028715427,4095420.3307679407,5484716.0192713775,31283655.0,367118.0,374568.0,23440752.65856856,15004809.681858838
2022-11-06,20615.5,20900.0,20026.0,21473.7,3222718.9939994435,18695126.428400014,16293092.93199999,2911314552.3,2911314552.3,873555.4089969369,7004777.303000001,11628754.682499992,1271984611.248,1271984611.248,131595614.4962735,4415.124890016,15734.248873836128,4544977.983104754,6314066.9735695245,7853650.381384052,3766.280013422258,1902.245288380201,4093009.079400503,5584229.508830013,31778053.0,459166.0,2081859.0,23786467.8722989,17653003.211126335
2022-11-13,20900.0,16321.2,15462.6,21062.6,7743644.225994777,73864095.5431998,51412014.44199983,1945736166.7968,1945736166.7968,2255303.970996719,38931969.18549991,30692895.85349995,716770598.004,716770598.004,945820685.6919798,9513906.554823944,6749299.492770538,2835301.0744452737,19216929.912335545,29605811.34999041,31110.96298784719,30489.901232648277,4394261.3058005255,5477620.689548984,75736741.0,879790.0,833773.0,22476779.97031147,19131667.34204967
2022-11-20,16321.3,16272.6,15805.5,17188.0,3417717.4090017453,19104795.68609998,13761498.118499994,1973802070.6848,1973802070.6848,939410.5839970977,6817059.783500005,12000862.658999994,809296712.466,809296712.466,329831748.26655275,6949.373210545164,27646.554847393818,9704370.694919735,29008676.935538244,6415771.579295645,130.55949130066165,245.03210660664192,4379525.001621435,5744297.367109379,53340006.0,348909.0,778718.0,20224250.494650625,22557486.629890617
2022-11-27,16272.7,16422.6,15443.2,16800.0,3016555.424999648,11822461.155600008,13050114.822799997,2081363553.7986,2081363553.7986,824909.2039977206,4580423.2025000015,8198356.760000003,920017155.486,920017155.486,613783312.6260998,35672.7152555219,7042.652969410501,51893718.27054061,21669003.100259334,6045161.075819838,7198.531100231138,8150.111160396379,4350571.047896878,6070385.949954204,25005624.0,485918.0,268434.0,25557105.356771965,31291194.699549828
2022-12-04,16422.5,17099.5,15984.1,17348.5,2731158.9599982155,10380651.601300007,11244370.494499996,2324883604.0595,2324883604.0595,794224.0739988035,4883125.980499999,6699629.243499999,945818112.432,945818112.432,429317053.12672883,6115.5143729819,2185466.0060409848,8584665.492368057,31999937.164271653,6297462.531289127,154.18596944815638,78.06596316336663,4223427.68505849,6394822.636336396,18839844.0,400965.0,256370.0,24669220.8251748,30133249.786074564
2022-12-11,17099.4,17077.3,16655.0,17430.0,2184322.118997571,6738377.8232,5345304.7387000015,1862272204.6837,1862272204.6837,560875.5809998186,1347737.4504999998,1858810.0315,1046445791.454,1046445791.454,130385695.32368052,5810.838658455899,39155.308381256094,8623107.032341542,34987366.87619909,4772611.693209293,4164.2596226654005,2109.944039918072,4334319.854195289,6596341.692374257,21537995.0,115912.0,337691.0,22763466.076688897,21494709.593683727
2022-12-18,17077.3,16730.3,16521.1,18400.0,3053777.943999223,13102025.76959999,17744721.902499996,1646872544.0166,1646872544.0166,934243.0959964735,4355856.084000001,7821284.989000001,1059914068.164,1059914068.164,370852971.4316483,53455.78260494265,927272.6354081318,10589760.59276207,28666244.722051136,8571460.336579094,8551.156228390999,5501.693804844212,4410827.324425107,7257214.7058464335,37832447.0,899335.0,1580645.0,21677785.07808541,23561525.73289231
2022-12-25,16730.4,16824.4,16210.0,17049.6,1846216.9579983074,5966871.971600002,4519833.655100002,1638714663.0544002,1638714663.0544002,530227.4579995631,1445588.845,2636320.99,1114161561.35,1114161561.35,199472983.3017903,29414.4124361345,3801.5870810162496,7342196.209401487,33316694.542762928,5610553.291635452,150.0372732247924,303.97715982332085,4386319.765687996,7602102.54742335,18604497.0,41514.0,591558.0,22466895.803967062,30341504.78255269
2023-01-01,16824.5,16610.3,16320.0,16968.0,1499785.952999109,5370763.5918000005,3587215.632700001,1808107462.7182,1808107462.7182,424170.4999996259,5441427.132000001,1122667.2295,1216469390.76,1216469390.76,52867625.161496945,6120.519008798313,1658.0005783872,9602489.843856666,34542770.396558285,5844921.469951551,0.0,0.0,4394592.788214029,8214326.372040205,8692974.0,286546.0,83100.0,22993107.05576908,32668055.73038266
2023-01-08,16610.4,17124.7,16541.2,17181.1,1496740.6329988278,3311466.8928000005,9570562.624300001,1760808438.6804,1760808438.6804,447153.19399953075,1413559.4070000001,2130364.2265,1120174046.241,1120174046.241,52681119.2401839,0.0,1037863.8309455682,9712141.146494292,32156241.96046308,7777438.492342301,0.0,0.0,4338332.387306421,9259500.014794791,4364536.0,309078.0,265239.0,27112822.083331566,33755298.61780684
2023-01-15,17124.6,20882.7,17098.2,21544.0,4297525.815005129,17762182.68779999,42648077.44979994,1968554973.0501,1968554973.0501,1277571.5429886552,11020419.441999987,13652662.943500008,1054428650.132,1054428650.132,782911358.6043991,10379.9781886491,2451716.0175491483,33822098.68080183,10348911.327583332,18876255.87244208,191144.67998137555,158256.97374054042,4803335.608356208,9742816.192408836,47826137.0,1447881.0,1434707.0,32489637.333564684,29692909.24198704
2023-01-22,20882.7,22704.6,20386.0,23390.0,4369137.429002429,21035076.9719,30936568.29439997,2140637095.2048,2140637095.2048,1346306.1899909927,11984739.983000005,16061729.130500004,1038760886.5795,1038760886.5795,348630985.3940284,81367.15368964401,3173582.5499559743,50791957.16426497,5238928.485464279,11746242.795211053,256031.5974217317,163256.2986158546,4765419.924362631,9659627.578166548,76483625.0,1589006.0,1359626.0,30663372.870580137,26229394.811833862
2023-01-29,22704.7,23740.3,22310.5,23962.7,3410088.6009956105,16588747.613800008,27628805.622799993,2451825230.0581,2451825230.0581,1004693.0539978736,8591814.161500001,12479518.191000002,1095208655.85,1095208655.85,379275552.96796584,94467.2250726304,361137.77121290733,62711237.00224446,5450216.981776289,9871310.85688104,28912.101542829707,14579.382966778727,4854219.498634663,9767953.792591086,51459729.0,1737477.0,598054.0,35293769.66334176,30380497.983221147
