time,leverage_long_GMX,leverage_short_GMX,less_than_1X_GMX,1X_5X_GMX,5X_10X_GMX,10X_15X_GMX,15X_20X_GMX,20X_25X_GMX,25X_30X_GMX,30X_35X_GMX,35X_40X_GMX,40X_45X_GMX,45X_50X_GMX,more_than_50X_GMX,leverage_long_GNS,leverage_short_GNS,less_than_1X_GNS,1X_5X_GNS,5X_10X_GNS,10X_15X_GNS,15X_20X_GNS,20X_25X_GNS,25X_30X_GNS,30X_35X_GNS,35X_40X_GNS,40X_45X_GNS,45X_50X_GNS,more_than_50X_GNS
2022-06-19,9.752439172226673,9.775205095885983,103470.04261032831,12927084.122896424,12522916.016887477,6451184.701447099,3608958.409055284,5994770.7883429695,48373467.18096362,6017.34768,0.0,0.0,0.0,0.0,73.1190453433155,66.09446735374377,0.0,11181.0,11181.0,127335.53589812983,64290.36398885804,56750.45121834687,122188.59455128205,162305.9505548584,241607.9756021756,227956.24674185464,752062.4142857143,298915.01040152245
2022-06-26,11.155475664159672,10.68341226870463,51532.533325504264,4558129.579291979,4000332.311439861,4364855.784048915,4108423.525430806,4534085.931351774,21223504.798330296,2000.9448,0.0,0.0,0.0,3411.712158687042,63.931115893244574,62.634514291050344,0.0,0.0,0.0,66361.85652038701,79865.5060629026,143278.00497076023,53443.17671287924,151104.2067359388,26139.353787878787,31964.57505827506,325127.3869047619,197408.95743303536
2022-07-03,15.936137875181176,19.409165860613655,7794.3081124032615,2001772.640068392,2433923.8561550216,2181354.61697349,1914912.1377037496,1940632.9507857547,64852606.1097323,0.0,0.0,0.0,0.0,0.0,65.27062207298003,57.764550583258256,0.0,49916.183333333334,32344.083333333336,126097.85676297132,83035.0505050505,150330.0056492953,65919.52976190476,169673.35868079288,334974.2833333333,92228.16612554113,222459.4007936508,265468.4186340767
2022-07-10,15.844181652722492,10.090058285229846,68134.12295857884,2700011.7942340453,10589500.285654122,3963115.3410718283,3483209.129802555,2966768.829028403,24688215.769322734,0.0,0.0,0.0,0.0,560.0,74.89199477747643,56.82641276773969,0.0,36390.94943977591,53576.15277777778,103742.96380090498,58424.09469507101,228300.2286713287,32192.246212121212,300308.2031746032,33021.04761904762,72986.05952380953,29215.333333333332,84861.9952384539
2022-07-17,11.58321115661496,11.457549445786574,225622.04584114303,6997080.269802663,8942844.716836577,7121817.901511559,4273374.694755826,8171031.246902788,19935602.2173996,0.0,0.0,0.0,0.0,0.0,72.54982113738535,68.04945534576703,0.0,47122.53676470588,63912.9766214178,83549.05175627104,50754.481476856476,178095.85543672016,161833.725,142225.40109890111,54499.416666666664,1066436.6111111112,58990.6,153106.20197857532
2022-07-24,12.518986707142462,11.746212146943082,207234.3996539869,7102415.786294958,15363382.842249705,20015926.44242351,13824876.510819381,8437039.320139715,35055548.63270846,10454.169999999998,4660000.0,0.0,0.0,26000.0,86.78838535933814,65.2061680053638,0.0,113618.99042950512,70757.60176767677,116864.87246841323,96107.45216092817,338830.7248925481,133406.2332167832,128615.17777777778,112395.79904306219,164345.2527777778,66861.29166666667,161659.35124028174
2022-07-31,15.596992154962797,10.358819860604996,104001.0917750959,4604553.420370667,5518447.875586954,7386180.899432239,8863909.168122515,6458374.662822761,23384370.17182611,0.0,0.0,0.0,0.0,0.0,81.58131080646402,59.187672382584715,0.0,37526.984032634035,98253.3780657748,134770.92981695532,428960.05,444548.0508785332,196348.36666666664,294050.3333333334,863251.2222222221,703304.5077380952,127208.16666666666,156833.0273919485
2022-08-07,14.19659624081845,15.194123851237261,138840.7109767478,2835433.560262987,5041511.775206253,3540599.500173591,3504817.821301522,5298036.4500929415,31134509.261431444,6143.351518439999,0.0,0.0,0.0,0.0,70.11008855878312,52.86398675036669,0.0,19546.591228070174,132122.92272727273,83774.79064294582,67927.19491341991,76428.14002525253,74387.42683982683,98400.09087301587,31148.916666666668,137670.35555555555,68766.0,165032.64960440592
2022-08-14,15.06293407261532,13.164732282182174,23212.908325904697,5548592.712502825,7076515.460518492,11750147.450279702,20397199.736297224,11817969.93666171,28172244.688932754,8.583567271,0.0,0.0,0.0,0.0,71.9603458241909,67.83971755529718,0.0,55282.308333333334,49698.16666666667,108230.56312576312,134703.39210526316,196012.80076137313,156280.0126984127,139126.67012987012,89568.56666666667,1502234.280952381,212502.83636363636,259028.57577424834
2022-08-21,16.582493226726008,14.6568121032927,32228.806158741227,3665087.9689687695,13442410.606146514,10882134.279512117,11243313.44811429,7583448.689547699,33189757.752017923,584.18624076,0.0,0.0,0.0,0.0,80.40450443201117,73.02116469615784,0.0,67989.78214285715,110698.03571428571,145150.92832125604,413669.77813852817,102209.10952380953,313736.8333333334,48063.39230769231,772368.0,140676.45476190478,384427.13818860886,126246.25907311842
