,symbol,exchange,symbol_on_exchange,base_asset,quote_asset,expire_at,has_buy_sell_data,is_perpetual,margined,oi_lq_vol_denominated_in,has_long_short_ratio_data,has_ohlcv_data
1047,ZEC-USD.8,8,ZEC-USD,ZEC,USD,,True,True,STABLE,BASE_ASSET,False,True
1048,BTC-29DEC23.2,2,BTC-29DEC23,BTC,USD,1703836800000.0,True,False,COIN,QUOTE_ASSET,False,True
1049,PERP_COMP_USDT.W,W,PERP_COMP_USDT,COMP,USDT,,True,True,STABLE,BASE_ASSET,False,True
1050,BICOUSDT_PERP.3,3,BICO-USDT-SWAP,BICO,USDT,,True,True,STABLE,BASE_ASSET,False,True
1051,PERP_WOO_USDT.W,W,PERP_WOO_USDT,WOO,USDT,,True,True,STABLE,BASE_ASSET,False,True
1052,ETHZ23.0,0,ETHZ23,ETH,BTC,1703851200000.0,True,False,STABLE,BASE_ASSET,False,True
1053,ZILUSDT_PERP.4,4,ZIL-USDT,ZIL,USDT,,True,True,STABLE,BASE_ASSET,False,True
1054,LPT_USDT.Y,Y,LPT_USDT,LPT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1055,WAVESUSDT_PERP.3,3,WAVES-USDT-SWAP,WAVES,USDT,,True,True,STABLE,BASE_ASSET,False,True
1056,TRXUSDT_PERP.F,F,TRXF0:USTF0,TRX,USDT,,True,True,STABLE,BASE_ASSET,False,True
1057,pf_scusd.K,K,pf_scusd,SC,USD,,True,True,STABLE,BASE_ASSET,False,True
1058,pf_woousd.K,K,pf_woousd,WOO,USD,,True,True,STABLE,BASE_ASSET,False,True
1059,pf_maticusd.K,K,pf_maticusd,MATIC,USD,,True,True,STABLE,BASE_ASSET,False,True
1060,DYDXUSDT_PERP.3,3,DYDX-USDT-SWAP,DYDX,USDT,,True,True,STABLE,BASE_ASSET,False,True
1061,GALA_USDT.Y,Y,GALA_USDT,GALA,USDT,,True,True,STABLE,BASE_ASSET,False,True
1062,ETC_USDT.Y,Y,ETC_USDT,ETC,USDT,,True,True,STABLE,BASE_ASSET,False,True
1063,DOT-USD.8,8,DOT-USD,DOT,USD,,True,True,STABLE,BASE_ASSET,False,True
1064,COMPUSDT_PERP.F,F,COMPF0:USTF0,COMP,USDT,,True,True,STABLE,BASE_ASSET,False,True
1065,APEUSDT_PERP.4,4,APE-USDT,APE,USDT,,True,True,STABLE,BASE_ASSET,False,True
1066,MATIC-USD.8,8,MATIC-USD,MATIC,USD,,True,True,STABLE,BASE_ASSET,False,True
1067,MBABYDOGE_USDT.Y,Y,MBABYDOGE_USDT,MBABYDOGE,USDT,,True,True,STABLE,BASE_ASSET,False,True
1068,FET_USDT.Y,Y,FET_USDT,FET,USDT,,True,True,STABLE,BASE_ASSET,False,True
1069,BTC-24NOV23.2,2,BTC-24NOV23,BTC,USD,1700812800000.0,True,False,COIN,QUOTE_ASSET,False,True
1070,CETUSUSDT_PERP.3,3,CETUS-USDT-SWAP,CETUS,USDT,,True,True,STABLE,BASE_ASSET,False,True
1071,ONEUSDT_PERP.4,4,ONE-USDT,ONE,USDT,,True,True,STABLE,BASE_ASSET,False,True
1072,RDNT_USDT.Y,Y,RDNT_USDT,RDNT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1073,PERP_GRT_USDT.W,W,PERP_GRT_USDT,GRT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1074,BLZ_USDT.Y,Y,BLZ_USDT,BLZ,USDT,,True,True,STABLE,BASE_ASSET,False,True
1075,APEUSDT_PERP.F,F,APEF0:USTF0,APE,USDT,,True,True,STABLE,BASE_ASSET,False,True
1076,GMTUSD_PERP.0,0,GMTUSD,GMT,USD,,True,True,COIN,CONTRACTS,False,True
1077,UNI_USDT.Y,Y,UNI_USDT,UNI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1078,HBARUSDT_PERP.3,3,HBAR-USDT-SWAP,HBAR,USDT,,True,True,STABLE,BASE_ASSET,False,True
1079,KLAYUSDT_PERP.3,3,KLAY-USDT-SWAP,KLAY,USDT,,True,True,STABLE,BASE_ASSET,False,True
1080,LUNCUSDT_PERP.3,3,LUNC-USDT-SWAP,LUNC,USDT,,True,True,STABLE,BASE_ASSET,False,True
1081,XRPUSDT_PERP.4,4,XRP-USDT,XRP,USDT,,True,True,STABLE,BASE_ASSET,False,True
1082,WAVES_USDT.Y,Y,WAVES_USDT,WAVES,USDT,,True,True,STABLE,BASE_ASSET,False,True
1083,ff_xbtusd_231229.K,K,ff_xbtusd_231229,BTC,USD,1703836800000.0,True,False,STABLE,BASE_ASSET,False,True
1084,OXT_USDT.Y,Y,OXT_USDT,OXT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1085,AXSUSDT_PERP.4,4,AXS-USDT,AXS,USDT,,True,True,STABLE,BASE_ASSET,False,True
1086,DOTUSDT_PERP.4,4,DOT-USDT,DOT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1087,GLMR_USDT.Y,Y,GLMR_USDT,GLMR,USDT,,True,True,STABLE,BASE_ASSET,False,True
1088,DUSK_USDT.Y,Y,DUSK_USDT,DUSK,USDT,,True,True,STABLE,BASE_ASSET,False,True
1089,BTCUSDZ23.6,6,BTCUSDZ23,BTC,USD,1703836800000.0,True,False,COIN,QUOTE_ASSET,False,True
1090,C98_USDT.Y,Y,C98_USDT,C98,USDT,,True,True,STABLE,BASE_ASSET,False,True
1091,PERP_GMX_USDT.W,W,PERP_GMX_USDT,GMX,USDT,,True,True,STABLE,BASE_ASSET,False,True
1092,pf_pepeusd.K,K,pf_pepeusd,PEPE,USD,,True,True,STABLE,BASE_ASSET,False,True
1093,pf_etcusd.K,K,pf_etcusd,ETC,USD,,True,True,STABLE,BASE_ASSET,False,True
1094,LOOKSUSDT_PERP.3,3,LOOKS-USDT-SWAP,LOOKS,USDT,,True,True,STABLE,BASE_ASSET,False,True
1095,SUIUSD_PERP.0,0,SUIUSD,SUI,USD,,True,True,COIN,CONTRACTS,False,True
1096,ADAUSDT_PERP.3,3,ADA-USDT-SWAP,ADA,USDT,,True,True,STABLE,BASE_ASSET,False,True
1097,ZECUSDT_PERP.3,3,ZEC-USDT-SWAP,ZEC,USDT,,True,True,STABLE,BASE_ASSET,False,True
1098,FITFI_USDT.Y,Y,FITFI_USDT,FITFI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1099,XMRUSDT_PERP.F,F,XMRF0:USTF0,XMR,USDT,,True,True,STABLE,BASE_ASSET,False,True
1100,pf_usdtusd.K,K,pf_usdtusd,USDT,USD,,True,True,STABLE,BASE_ASSET,False,True
1101,BTCUSDT_PERP.4,4,BTC-USDT,BTC,USDT,,True,True,STABLE,BASE_ASSET,False,True
1102,fi_bchusd_231229.K,K,fi_bchusd_231229,BCH,USD,1703865600000.0,True,False,COIN,QUOTE_ASSET,False,True
1103,COTI_USDT.Y,Y,COTI_USDT,COTI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1104,PERP_KLAY_USDT.W,W,PERP_KLAY_USDT,KLAY,USDT,,True,True,STABLE,BASE_ASSET,False,True
1105,pf_lptusd.K,K,pf_lptusd,LPT,USD,,True,True,STABLE,BASE_ASSET,False,True
1106,BNBUSDT_PERP.4,4,BNB-USDT,BNB,USDT,,True,True,STABLE,BASE_ASSET,False,True
1107,ETHW_USDT.Y,Y,ETHW_USDT,ETHW,USDT,,True,True,STABLE,BASE_ASSET,False,True
1108,ATOM-USD.8,8,ATOM-USD,ATOM,USD,,True,True,STABLE,BASE_ASSET,False,True
1109,pf_injusd.K,K,pf_injusd,INJ,USD,,True,True,STABLE,BASE_ASSET,False,True
1110,TRU_USDT.Y,Y,TRU_USDT,TRU,USDT,,True,True,STABLE,BASE_ASSET,False,True
1111,RNDRUSDT_PERP.4,4,RNDR-USDT,RNDR,USDT,,True,True,STABLE,BASE_ASSET,False,True
1112,PERP_STX_USDT.W,W,PERP_STX_USDT,STX,USDT,,True,True,STABLE,BASE_ASSET,False,True
1113,ETHWUSDT_PERP.3,3,ETHW-USDT-SWAP,ETHW,USDT,,True,True,STABLE,BASE_ASSET,False,True
1114,LOOMUSDT_PERP.4,4,LOOM-USDT,LOOM,USDT,,True,True,STABLE,BASE_ASSET,False,True
1115,MINAUSDT_PERP.4,4,MINA-USDT,MINA,USDT,,True,True,STABLE,BASE_ASSET,False,True
1116,GRTUSDT_PERP.4,4,GRT-USDT,GRT,USDT,,True,True,STABLE,BASE_ASSET,False,True
